Symbol,Lot Size,Entry Time,Exit Time,Days Held,Exit Reason,Long Equity PnL (₹),Long Equity Return (%),Short Equity PnL (₹),Short Equity Return (%),Options: Naked Call Buy PnL (₹),Options: Naked Call Buy Return (%),Options: Naked Put Buy PnL (₹),Options: Naked Put Buy Return (%),Options: Long Straddle PnL (₹),Options: Long Straddle Return (%),Options: Bull Put Spread (ATM & OTM1) PnL (₹),Options: Bull Put Spread (ATM & OTM1) Return (%),Options: Bull Put Spread (ATM & OTM2) PnL (₹),Options: Bull Put Spread (ATM & OTM2) Return (%),Options: Bear Call Spread (ATM & OTM1) PnL (₹),Options: Bear Call Spread (ATM & OTM1) Return (%),Options: Bear Call Spread (ATM & OTM2) PnL (₹),Options: Bear Call Spread (ATM & OTM2) Return (%)
LICI,1400,2026-07-01 09:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),3780.0,0.62,-3780.0,-0.62,910.0,0.15,-3290.0,-0.54,-2380.0,-0.39,-280.0,-0.05,-910.0,-0.15,-1890.0,-0.31,-420.0,-0.07
NESTLEIND,500,2026-07-01 09:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),6900.0,0.95,-6900.0,-0.95,10300.0,1.42,-15425.0,-2.13,-5125.0,-0.71,4650.0,0.64,5050.0,0.7,-3000.0,-0.41,-5075.0,-0.7
LODHA,625,2026-07-01 09:15:00,2026-07-01 09:15:00,1,SL Hit (-3.0%),-27968.75,-4.45,27968.75,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONCOR,1250,2026-07-01 09:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),-10562.5,-1.77,10562.5,1.77,-3375.0,-0.57,3312.5,0.56,-62.5,-0.01,375.0,0.06,-1187.5,-0.2,-2000.0,-0.34,-187.5,-0.03
POLICYBZR,350,2026-07-01 10:15:00,2026-07-03 09:15:00,3,SL Hit on Gap-Down,-21735.0,-3.69,21735.0,3.69,-5337.5,-0.91,11042.5,1.88,5705.0,0.97,157.5,0.03,-10027.5,-1.7,5792.5,0.98,-3955.0,-0.67
NAM-INDIA,625,2026-07-01 10:15:00,2026-07-01 10:16:00,1,SL Hit (-3.0%),-22687.5,-2.99,22687.5,2.99,0.0,0.0,0.0,0.0,0.0,0.0,406.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0
CGPOWER,850,2026-07-01 10:15:00,2026-07-03 09:15:00,3,SL Hit on Gap-Down,-40800.0,-5.0,40800.0,5.0,-19592.5,-2.4,35232.5,4.32,15640.0,1.92,-9052.5,-1.11,-7182.5,-0.88,8415.0,1.03,10497.5,1.29
INOXWIND,6400,2026-07-01 10:15:00,2026-07-06 09:23:00,4,SL Hit (-3.0%),-17600.0,-3.06,17600.0,3.06,-10944.0,-1.9,6016.0,1.04,-4928.0,-0.86,-5568.0,-0.97,832.0,0.14,3392.0,0.59,2368.0,0.41
SHREECEM,25,2026-07-01 10:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),10375.0,1.58,-10375.0,-1.58,10108.75,1.54,-8525.0,-1.3,1583.75,0.24,-3051.25,-0.47,-341.25,-0.05,-5217.5,-0.8,-8791.25,-1.34
ASHOKLEY,5000,2026-07-01 10:15:00,2026-07-01 10:46:00,1,SL Hit (-3.0%),-24000.0,-2.91,24000.0,2.91,-2350.0,-0.29,3200.0,0.39,850.0,0.1,-1300.0,-0.16,-750.0,-0.09,300.0,0.04,800.0,0.1
