Symbol,Lot Size,Entry Time,Exit Time (5D),Days Held (5D),Exit Reason (5D),Exit Time (2D),Days Held (2D),Exit Reason (2D),Long Equity (5D) PnL (₹),Long Equity (5D) Return (%),Long Equity (2D) PnL (₹),Long Equity (2D) Return (%),Short Equity (5D) PnL (₹),Short Equity (5D) Return (%),Short Equity (2D) PnL (₹),Short Equity (2D) Return (%),Options: Naked Call Buy (5D) PnL (₹),Options: Naked Call Buy (5D) Return (%),Options: Naked Call Buy (2D) PnL (₹),Options: Naked Call Buy (2D) Return (%),Options: Naked Put Buy (5D) PnL (₹),Options: Naked Put Buy (5D) Return (%),Options: Naked Put Buy (2D) PnL (₹),Options: Naked Put Buy (2D) Return (%),Options: Long Straddle (5D) PnL (₹),Options: Long Straddle (5D) Return (%),Options: Long Straddle (2D) PnL (₹),Options: Long Straddle (2D) Return (%),Options: Bull Put Spread (ATM & OTM1) (5D) PnL (₹),Options: Bull Put Spread (ATM & OTM1) (5D) Return (%),Options: Bull Put Spread (ATM & OTM1) (2D) PnL (₹),Options: Bull Put Spread (ATM & OTM1) (2D) Return (%),Options: Bull Put Spread (ATM & OTM2) (5D) PnL (₹),Options: Bull Put Spread (ATM & OTM2) (5D) Return (%),Options: Bull Put Spread (ATM & OTM2) (2D) PnL (₹),Options: Bull Put Spread (ATM & OTM2) (2D) Return (%),Options: Bear Call Spread (ATM & OTM1) (5D) PnL (₹),Options: Bear Call Spread (ATM & OTM1) (5D) Return (%),Options: Bear Call Spread (ATM & OTM1) (2D) PnL (₹),Options: Bear Call Spread (ATM & OTM1) (2D) Return (%),Options: Bear Call Spread (ATM & OTM2) (5D) PnL (₹),Options: Bear Call Spread (ATM & OTM2) (5D) Return (%),Options: Bear Call Spread (ATM & OTM2) (2D) PnL (₹),Options: Bear Call Spread (ATM & OTM2) (2D) Return (%)
LICI,1400,2026-07-01 09:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),2026-07-03 09:15:00,3,Time Exit (2 Days),3780.0,0.62,560.0,0.09,-3780.0,-0.62,-560.0,-0.09,910.0,0.15,-2310.0,-0.38,-3290.0,-0.54,2100.0,0.35,-2380.0,-0.39,-210.0,-0.03,-280.0,-0.05,-2660.0,-0.44,-910.0,-0.15,-1190.0,-0.2,-1890.0,-0.31,-630.0,-0.1,-420.0,-0.07,-490.0,-0.08
NESTLEIND,500,2026-07-01 09:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),2026-07-03 09:15:00,3,Time Exit (2 Days),6900.0,0.95,900.0,0.12,-6900.0,-0.95,-900.0,-0.12,10300.0,1.42,7875.0,1.09,-15425.0,-2.13,-9000.0,-1.24,-5125.0,-0.71,-1125.0,-0.16,4650.0,0.64,4400.0,0.61,5050.0,0.7,3275.0,0.45,-3000.0,-0.41,-3125.0,-0.43,-5075.0,-0.7,-6475.0,-0.9
LODHA,625,2026-07-01 09:15:00,2026-07-01 09:15:00,1,SL Hit (-3.0%),2026-07-01 09:15:00,1,SL Hit (-3.0%),-27968.75,-4.45,-27968.75,-4.45,27968.75,4.45,27968.75,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONCOR,1250,2026-07-01 09:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),2026-07-03 09:15:00,3,Time Exit (2 Days),-10562.5,-1.77,3187.5,0.53,10562.5,1.77,-3187.5,-0.53,-3375.0,-0.57,4562.5,0.76,3312.5,0.56,3437.5,0.58,-62.5,-0.01,8000.0,1.34,375.0,0.06,-6250.0,-1.05,-1187.5,-0.2,-4937.5,-0.83,-2000.0,-0.34,-5375.0,-0.9,-187.5,-0.03,-4312.5,-0.72
POLICYBZR,350,2026-07-01 10:15:00,2026-07-03 09:15:00,3,SL Hit on Gap-Down,2026-07-03 09:15:00,3,SL Hit on Gap-Down,-21735.0,-3.69,-21735.0,-3.69,21735.0,3.69,21735.0,3.69,-5337.5,-0.91,-5337.5,-0.91,11042.5,1.88,11042.5,1.88,5705.0,0.97,5705.0,0.97,157.5,0.03,157.5,0.03,-10027.5,-1.7,-10027.5,-1.7,5792.5,0.98,5792.5,0.98,-3955.0,-0.67,-3955.0,-0.67
NAM-INDIA,625,2026-07-01 10:15:00,2026-07-01 10:16:00,1,SL Hit (-3.0%),2026-07-01 10:16:00,1,SL Hit (-3.0%),-22687.5,-2.99,-22687.5,-2.99,22687.5,2.99,22687.5,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.25,0.05,406.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGPOWER,850,2026-07-01 10:15:00,2026-07-03 09:15:00,3,SL Hit on Gap-Down,2026-07-03 09:15:00,3,SL Hit on Gap-Down,-40800.0,-5.0,-40800.0,-5.0,40800.0,5.0,40800.0,5.0,-19592.5,-2.4,-19592.5,-2.4,35232.5,4.32,35232.5,4.32,15640.0,1.92,15640.0,1.92,-9052.5,-1.11,-9052.5,-1.11,-7182.5,-0.88,-7182.5,-0.88,8415.0,1.03,8415.0,1.03,10497.5,1.29,10497.5,1.29
INOXWIND,6400,2026-07-01 10:15:00,2026-07-06 09:23:00,4,SL Hit (-3.0%),2026-07-03 09:15:00,3,Time Exit (2 Days),-17600.0,-3.06,1216.0,0.21,17600.0,3.06,-1216.0,-0.21,-10944.0,-1.9,-1792.0,-0.31,6016.0,1.04,-128.0,-0.02,-4928.0,-0.86,-1920.0,-0.33,-5568.0,-0.97,-3968.0,-0.69,832.0,0.14,2176.0,0.38,3392.0,0.59,1280.0,0.22,2368.0,0.41,320.0,0.06
SHREECEM,25,2026-07-01 10:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),2026-07-03 09:15:00,3,Time Exit (2 Days),10375.0,1.58,6875.0,1.05,-10375.0,-1.58,-6875.0,-1.05,10108.75,1.54,2667.5,0.41,-8525.0,-1.3,-2091.25,-0.32,1583.75,0.24,576.25,0.09,-3051.25,-0.47,-4101.25,-0.63,-341.25,-0.05,-3262.5,-0.5,-5217.5,-0.8,-972.5,-0.15,-8791.25,-1.34,-2667.5,-0.41
ASHOKLEY,5000,2026-07-01 10:15:00,2026-07-01 10:46:00,1,SL Hit (-3.0%),2026-07-01 10:46:00,1,SL Hit (-3.0%),-24000.0,-2.91,-24000.0,-2.91,24000.0,2.91,24000.0,2.91,-2350.0,-0.29,-2350.0,-0.29,3200.0,0.39,3200.0,0.39,850.0,0.1,850.0,0.1,-1300.0,-0.16,-1300.0,-0.16,-750.0,-0.09,-750.0,-0.09,300.0,0.04,300.0,0.04,800.0,0.1,800.0,0.1
HAL,150,2026-07-01 10:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),2026-07-03 09:15:00,3,Time Exit (2 Days),-7710.0,-1.16,3330.0,0.5,7710.0,1.16,-3330.0,-0.5,-6052.5,-0.91,705.0,0.11,-1395.0,-0.21,-3652.5,-0.55,-7447.5,-1.12,-2947.5,-0.44,22.5,0.0,337.5,0.05,-120.0,-0.02,630.0,0.09,1860.0,0.28,-390.0,-0.06,1980.0,0.3,-997.5,-0.15
